CATEGORIA,SUBCATEGORIA,Ano,Producao
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2012,45200730
VINHO FINO DE MESA,Tinto,2012,24027589
VINHO FINO DE MESA,Branco,2012,20647238
VINHO FINO DE MESA,Rosado,2012,525903
SUCO,SUCO,2012,70066732
SUCO,Suco de uva integral,2012,31908829
SUCO,Suco de uva concentrado,2012,37624855
SUCO,Suco de uva adoçado,2012,533048
SUCO,Suco de uva orgânico,2012,0
SUCO,Suco de uva reconstituído,2012,0
DERIVADOS,DERIVADOS,2012,100757101
DERIVADOS,Espumante,2012,17200
DERIVADOS,Espumante moscatel,2012,139775
DERIVADOS,Base espumante,2012,0
DERIVADOS,Base espumante moscatel,2012,2798908
DERIVADOS,Base Champenoise champanha,2012,369278
DERIVADOS,Base Charmat champanha,2012,479625
DERIVADOS,Bebida de uva,2012,0
DERIVADOS,Polpa de uva,2012,2797665
DERIVADOS,Mosto simples,2012,93341575
DERIVADOS,Mosto concentrado,2012,0
DERIVADOS,Mosto de uva com bagaço,2012,0
DERIVADOS,Mosto dessulfitado,2012,0
DERIVADOS,Mistelas,2012,200
DERIVADOS,Néctar de uva,2012,0
DERIVADOS,Licorosos,2012,26775
DERIVADOS,Compostos,2012,7600
DERIVADOS,Jeropiga,2012,0
DERIVADOS,Filtrado,2012,0
DERIVADOS,Frisante,2012,778500
DERIVADOS,Vinho leve,2012,0
DERIVADOS,Vinho licoroso,2012,0
DERIVADOS,Brandy,2012,0
DERIVADOS,Destilado,2012,0
DERIVADOS,Bagaceira,2012,0
DERIVADOS,Licor de bagaceira,2012,0
DERIVADOS,Vinagre,2012,0
DERIVADOS,Borra líquida,2012,0
DERIVADOS,Borra seca,2012,0
DERIVADOS,Vinho Composto,2012,0
DERIVADOS,Pisco,2012,0
DERIVADOS,Vinho orgânico,2012,0
DERIVADOS,Espumante orgânico,2012,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2012,0
DERIVADOS,Vinho acidificado,2012,0
DERIVADOS,Mosto parcialmente fermentado,2012,0
DERIVADOS,Outros derivados,2012,0
VINHO DE MESA,VINHO DE MESA,2013,196904222
VINHO DE MESA,Tinto,2013,163111797
VINHO DE MESA,Branco,2013,32066403
VINHO DE MESA,Rosado,2013,1726022
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2013,45782530
VINHO FINO DE MESA,Tinto,2013,23156458
VINHO FINO DE MESA,Branco,2013,21906349
VINHO FINO DE MESA,Rosado,2013,719723
SUCO,SUCO,2013,64879790
SUCO,Suco de uva integral,2013,33673396
SUCO,Suco de uva concentrado,2013,31206394
SUCO,Suco de uva adoçado,2013,0
SUCO,Suco de uva orgânico,2013,0
SUCO,Suco de uva reconstituído,2013,0
DERIVADOS,DERIVADOS,2013,64072127
DERIVADOS,Espumante,2013,30275
DERIVADOS,Espumante moscatel,2013,159781
DERIVADOS,Base espumante,2013,0
DERIVADOS,Base espumante moscatel,2013,1470700
DERIVADOS,Base Champenoise champanha,2013,359617
DERIVADOS,Base Charmat champanha,2013,624728
DERIVADOS,Bebida de uva,2013,4260
DERIVADOS,Polpa de uva,2013,1742152
DERIVADOS,Mosto simples,2013,58517506
DERIVADOS,Mosto concentrado,2013,0
DERIVADOS,Mosto de uva com bagaço,2013,0
DERIVADOS,Mosto dessulfitado,2013,0
DERIVADOS,Mistelas,2013,2500
DERIVADOS,Néctar de uva,2013,10000
DERIVADOS,Licorosos,2013,0
DERIVADOS,Compostos,2013,0
DERIVADOS,Jeropiga,2013,0
DERIVADOS,Filtrado,2013,0
DERIVADOS,Frisante,2013,1009000
DERIVADOS,Vinho leve,2013,0
DERIVADOS,Vinho licoroso,2013,100
DERIVADOS,Brandy,2013,0
DERIVADOS,Destilado,2013,0
DERIVADOS,Bagaceira,2013,0
DERIVADOS,Licor de bagaceira,2013,0
DERIVADOS,Vinagre,2013,0
DERIVADOS,Borra líquida,2013,63111
DERIVADOS,Borra seca,2013,78397
DERIVADOS,Vinho Composto,2013,0
DERIVADOS,Pisco,2013,0
DERIVADOS,Vinho orgânico,2013,0
DERIVADOS,Espumante orgânico,2013,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2013,0
DERIVADOS,Vinho acidificado,2013,0
DERIVADOS,Mosto parcialmente fermentado,2013,0
DERIVADOS,Outros derivados,2013,0
VINHO DE MESA,VINHO DE MESA,2014,196173123
VINHO DE MESA,Tinto,2014,157776363
VINHO DE MESA,Branco,2014,37438069
VINHO DE MESA,Rosado,2014,958691
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2014,38464314
VINHO FINO DE MESA,Tinto,2014,17208996
VINHO FINO DE MESA,Branco,2014,20054804
VINHO FINO DE MESA,Rosado,2014,1200514
SUCO,SUCO,2014,76723537
SUCO,Suco de uva integral,2014,43331223
SUCO,Suco de uva concentrado,2014,33392314
SUCO,Suco de uva adoçado,2014,0
SUCO,Suco de uva orgânico,2014,0
SUCO,Suco de uva reconstituído,2014,0
DERIVADOS,DERIVADOS,2014,62907281
DERIVADOS,Espumante,2014,2700
DERIVADOS,Espumante moscatel,2014,100000
DERIVADOS,Base espumante,2014,0
DERIVADOS,Base espumante moscatel,2014,1808044
DERIVADOS,Base Champenoise champanha,2014,234725
DERIVADOS,Base Charmat champanha,2014,376968
DERIVADOS,Bebida de uva,2014,3860
DERIVADOS,Polpa de uva,2014,2484000
DERIVADOS,Mosto simples,2014,57582195
DERIVADOS,Mosto concentrado,2014,0
DERIVADOS,Mosto de uva com bagaço,2014,0
DERIVADOS,Mosto dessulfitado,2014,0
DERIVADOS,Mistelas,2014,1000
DERIVADOS,Néctar de uva,2014,1140
DERIVADOS,Licorosos,2014,0
DERIVADOS,Compostos,2014,0
DERIVADOS,Jeropiga,2014,0
DERIVADOS,Filtrado,2014,0
DERIVADOS,Frisante,2014,26069
DERIVADOS,Vinho leve,2014,0
DERIVADOS,Vinho licoroso,2014,36000
DERIVADOS,Brandy,2014,0
DERIVADOS,Destilado,2014,0
DERIVADOS,Bagaceira,2014,0
DERIVADOS,Licor de bagaceira,2014,0
DERIVADOS,Vinagre,2014,53776
DERIVADOS,Borra líquida,2014,50954
DERIVADOS,Borra seca,2014,142850
DERIVADOS,Vinho Composto,2014,3000
DERIVADOS,Pisco,2014,0
DERIVADOS,Vinho orgânico,2014,0
DERIVADOS,Espumante orgânico,2014,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2014,0
DERIVADOS,Vinho acidificado,2014,0
DERIVADOS,Mosto parcialmente fermentado,2014,0
DERIVADOS,Outros derivados,2014,0
VINHO DE MESA,VINHO DE MESA,2015,210308560
VINHO DE MESA,Tinto,2015,169811472
VINHO DE MESA,Branco,2015,39557250
VINHO DE MESA,Rosado,2015,939838
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2015,37148982
VINHO FINO DE MESA,Tinto,2015,16745896
VINHO FINO DE MESA,Branco,2015,19561966
VINHO FINO DE MESA,Rosado,2015,841120
SUCO,SUCO,2015,87894468
SUCO,Suco de uva integral,2015,52233155
SUCO,Suco de uva concentrado,2015,35661313
SUCO,Suco de uva adoçado,2015,0
SUCO,Suco de uva orgânico,2015,0
SUCO,Suco de uva reconstituído,2015,0
DERIVADOS,DERIVADOS,2015,107349704
DERIVADOS,Espumante,2015,23750
DERIVADOS,Espumante moscatel,2015,110100
DERIVADOS,Base espumante,2015,0
DERIVADOS,Base espumante moscatel,2015,1607727
DERIVADOS,Base Champenoise champanha,2015,605001
DERIVADOS,Base Charmat champanha,2015,1466259
DERIVADOS,Bebida de uva,2015,922
DERIVADOS,Polpa de uva,2015,2371140
DERIVADOS,Mosto simples,2015,100911592
DERIVADOS,Mosto concentrado,2015,0
DERIVADOS,Mosto de uva com bagaço,2015,0
DERIVADOS,Mosto dessulfitado,2015,0
DERIVADOS,Mistelas,2015,0
DERIVADOS,Néctar de uva,2015,1000
DERIVADOS,Licorosos,2015,0
DERIVADOS,Compostos,2015,0
DERIVADOS,Jeropiga,2015,0
DERIVADOS,Filtrado,2015,0
DERIVADOS,Frisante,2015,0
DERIVADOS,Vinho leve,2015,0
DERIVADOS,Vinho licoroso,2015,56000
DERIVADOS,Brandy,2015,0
DERIVADOS,Destilado,2015,0
DERIVADOS,Bagaceira,2015,1350
DERIVADOS,Licor de bagaceira,2015,0
DERIVADOS,Vinagre,2015,25800
DERIVADOS,Borra líquida,2015,48833
DERIVADOS,Borra seca,2015,120230
DERIVADOS,Vinho Composto,2015,0
DERIVADOS,Pisco,2015,0
DERIVADOS,Vinho orgânico,2015,0
DERIVADOS,Espumante orgânico,2015,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2015,0
DERIVADOS,Vinho acidificado,2015,0
DERIVADOS,Mosto parcialmente fermentado,2015,0
DERIVADOS,Outros derivados,2015,0
VINHO DE MESA,VINHO DE MESA,2016,86319015
VINHO DE MESA,Tinto,2016,75279191
VINHO DE MESA,Branco,2016,10727099
VINHO DE MESA,Rosado,2016,312725
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2016,18070626
VINHO FINO DE MESA,Tinto,2016,8774847
VINHO FINO DE MESA,Branco,2016,8705066
VINHO FINO DE MESA,Rosado,2016,590713
SUCO,SUCO,2016,42210389
SUCO,Suco de uva integral,2016,31117869
SUCO,Suco de uva concentrado,2016,11092520
SUCO,Suco de uva adoçado,2016,0
SUCO,Suco de uva orgânico,2016,0
SUCO,Suco de uva reconstituído,2016,0
DERIVADOS,DERIVADOS,2016,53950314
DERIVADOS,Espumante,2016,1500
DERIVADOS,Espumante moscatel,2016,100000
DERIVADOS,Base espumante,2016,0
DERIVADOS,Base espumante moscatel,2016,1325700
DERIVADOS,Base Champenoise champanha,2016,740395
DERIVADOS,Base Charmat champanha,2016,250280
DERIVADOS,Bebida de uva,2016,3474
DERIVADOS,Polpa de uva,2016,1620430
DERIVADOS,Mosto simples,2016,49770993
DERIVADOS,Mosto concentrado,2016,0
DERIVADOS,Mosto de uva com bagaço,2016,0
DERIVADOS,Mosto dessulfitado,2016,0
DERIVADOS,Mistelas,2016,0
DERIVADOS,Néctar de uva,2016,0
DERIVADOS,Licorosos,2016,0
DERIVADOS,Compostos,2016,0
DERIVADOS,Jeropiga,2016,0
DERIVADOS,Filtrado,2016,0
DERIVADOS,Frisante,2016,0
DERIVADOS,Vinho leve,2016,0
DERIVADOS,Vinho licoroso,2016,24200
DERIVADOS,Brandy,2016,0
DERIVADOS,Destilado,2016,0
DERIVADOS,Bagaceira,2016,1000
DERIVADOS,Licor de bagaceira,2016,0
DERIVADOS,Vinagre,2016,5000
DERIVADOS,Borra líquida,2016,24975
DERIVADOS,Borra seca,2016,82367
DERIVADOS,Vinho Composto,2016,0
DERIVADOS,Pisco,2016,0
DERIVADOS,Vinho orgânico,2016,0
DERIVADOS,Espumante orgânico,2016,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2016,0
DERIVADOS,Vinho acidificado,2016,0
DERIVADOS,Mosto parcialmente fermentado,2016,0
DERIVADOS,Outros derivados,2016,0
VINHO DE MESA,VINHO DE MESA,2017,255015187
VINHO DE MESA,Tinto,2017,1365957
VINHO DE MESA,Branco,2017,217527985
VINHO DE MESA,Rosado,2017,36121245
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2017,44537870
VINHO FINO DE MESA,Tinto,2017,21442212
VINHO FINO DE MESA,Branco,2017,21928400
VINHO FINO DE MESA,Rosado,2017,1167258
SUCO,SUCO,2017,77161971
SUCO,Suco de uva integral,2017,46865626
SUCO,Suco de uva concentrado,2017,30059271
SUCO,Suco de uva adoçado,2017,177774
SUCO,Suco de uva orgânico,2017,0
SUCO,Suco de uva reconstituído,2017,59300
DERIVADOS,DERIVADOS,2017,109116761
DERIVADOS,Espumante,2017,11280
DERIVADOS,Espumante moscatel,2017,152375
DERIVADOS,Base espumante,2017,0
DERIVADOS,Base espumante moscatel,2017,1965629
DERIVADOS,Base Champenoise champanha,2017,1552403
DERIVADOS,Base Charmat champanha,2017,893364
DERIVADOS,Bebida de uva,2017,0
DERIVADOS,Polpa de uva,2017,2507125
DERIVADOS,Mosto simples,2017,101010116
DERIVADOS,Mosto concentrado,2017,0
DERIVADOS,Mosto de uva com bagaço,2017,772110
DERIVADOS,Mosto dessulfitado,2017,0
DERIVADOS,Mistelas,2017,1500
DERIVADOS,Néctar de uva,2017,3000
DERIVADOS,Licorosos,2017,110820
DERIVADOS,Compostos,2017,0
DERIVADOS,Jeropiga,2017,0
DERIVADOS,Filtrado,2017,0
DERIVADOS,Frisante,2017,0
DERIVADOS,Vinho leve,2017,0
DERIVADOS,Vinho licoroso,2017,110820
DERIVADOS,Brandy,2017,0
DERIVADOS,Destilado,2017,0
DERIVADOS,Bagaceira,2017,900
DERIVADOS,Licor de bagaceira,2017,0
DERIVADOS,Vinagre,2017,25319
DERIVADOS,Borra líquida,2017,0
DERIVADOS,Borra seca,2017,0
DERIVADOS,Vinho Composto,2017,0
DERIVADOS,Pisco,2017,0
DERIVADOS,Vinho orgânico,2017,0
DERIVADOS,Espumante orgânico,2017,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2017,0
DERIVADOS,Vinho acidificado,2017,0
DERIVADOS,Mosto parcialmente fermentado,2017,0
DERIVADOS,Outros derivados,2017,0
VINHO DE MESA,VINHO DE MESA,2018,218375636
VINHO DE MESA,Tinto,2018,188270142
VINHO DE MESA,Branco,2018,29229970
VINHO DE MESA,Rosado,2018,875524
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2018,38707220
VINHO FINO DE MESA,Tinto,2018,19118254
VINHO FINO DE MESA,Branco,2018,18297257
VINHO FINO DE MESA,Rosado,2018,1291709
SUCO,SUCO,2018,65467906
SUCO,Suco de uva integral,2018,34367996
SUCO,Suco de uva concentrado,2018,31099910
SUCO,Suco de uva adoçado,2018,0
SUCO,Suco de uva orgânico,2018,0
SUCO,Suco de uva reconstituído,2018,0
DERIVADOS,DERIVADOS,2018,95202101
DERIVADOS,Espumante,2018,68500
DERIVADOS,Espumante moscatel,2018,326200
DERIVADOS,Base espumante,2018,0
DERIVADOS,Base espumante moscatel,2018,1320650
DERIVADOS,Base Champenoise champanha,2018,228518
DERIVADOS,Base Charmat champanha,2018,1746540
DERIVADOS,Bebida de uva,2018,0
DERIVADOS,Polpa de uva,2018,2112683
DERIVADOS,Mosto simples,2018,88910980
DERIVADOS,Mosto concentrado,2018,0
DERIVADOS,Mosto de uva com bagaço,2018,0
DERIVADOS,Mosto dessulfitado,2018,0
DERIVADOS,Mistelas,2018,2000
DERIVADOS,Néctar de uva,2018,0
DERIVADOS,Licorosos,2018,0
DERIVADOS,Compostos,2018,0
DERIVADOS,Jeropiga,2018,0
DERIVADOS,Filtrado,2018,0
DERIVADOS,Frisante,2018,0
DERIVADOS,Vinho leve,2018,8000
DERIVADOS,Vinho licoroso,2018,124303
DERIVADOS,Brandy,2018,0
DERIVADOS,Destilado,2018,680
DERIVADOS,Bagaceira,2018,2100
DERIVADOS,Licor de bagaceira,2018,0
DERIVADOS,Vinagre,2018,25367
DERIVADOS,Borra líquida,2018,255100
DERIVADOS,Borra seca,2018,70480
DERIVADOS,Vinho Composto,2018,0
DERIVADOS,Pisco,2018,0
DERIVADOS,Vinho orgânico,2018,0
DERIVADOS,Espumante orgânico,2018,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2018,0
DERIVADOS,Vinho acidificado,2018,0
DERIVADOS,Mosto parcialmente fermentado,2018,0
DERIVADOS,Outros derivados,2018,0
VINHO DE MESA,VINHO DE MESA,2019,144629737
VINHO DE MESA,Tinto,2019,121045115
VINHO DE MESA,Branco,2019,22032828
VINHO DE MESA,Rosado,2019,1551794
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2019,37615422
VINHO FINO DE MESA,Tinto,2019,17389377
VINHO FINO DE MESA,Branco,2019,18193055
VINHO FINO DE MESA,Rosado,2019,2032990
SUCO,SUCO,2019,77805352
SUCO,Suco de uva integral,2019,50239767
SUCO,Suco de uva concentrado,2019,26861009
SUCO,Suco de uva adoçado,2019,120320
SUCO,Suco de uva orgânico,2019,0
SUCO,Suco de uva reconstituído,2019,584256
DERIVADOS,DERIVADOS,2019,142888747
DERIVADOS,Espumante,2019,52176
DERIVADOS,Espumante moscatel,2019,515800
DERIVADOS,Base espumante,2019,0
DERIVADOS,Base espumante moscatel,2019,1962443
DERIVADOS,Base Champenoise champanha,2019,274903
DERIVADOS,Base Charmat champanha,2019,1188095
DERIVADOS,Bebida de uva,2019,0
DERIVADOS,Polpa de uva,2019,1480269
DERIVADOS,Mosto simples,2019,135614344
DERIVADOS,Mosto concentrado,2019,0
DERIVADOS,Mosto de uva com bagaço,2019,645816
DERIVADOS,Mosto dessulfitado,2019,1000
DERIVADOS,Mistelas,2019,3000
DERIVADOS,Néctar de uva,2019,32519
DERIVADOS,Licorosos,2019,0
DERIVADOS,Compostos,2019,0
DERIVADOS,Jeropiga,2019,0
DERIVADOS,Filtrado,2019,0
DERIVADOS,Frisante,2019,0
DERIVADOS,Vinho leve,2019,0
DERIVADOS,Vinho licoroso,2019,99485
DERIVADOS,Brandy,2019,0
DERIVADOS,Destilado,2019,0
DERIVADOS,Bagaceira,2019,10495
DERIVADOS,Licor de bagaceira,2019,1507
DERIVADOS,Vinagre,2019,76096
DERIVADOS,Borra líquida,2019,901431
DERIVADOS,Borra seca,2019,25996
DERIVADOS,Vinho Composto,2019,0
DERIVADOS,Pisco,2019,3372
DERIVADOS,Vinho orgânico,2019,0
DERIVADOS,Espumante orgânico,2019,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2019,0
DERIVADOS,Vinho acidificado,2019,0
DERIVADOS,Mosto parcialmente fermentado,2019,0
DERIVADOS,Outros derivados,2019,0
VINHO DE MESA,VINHO DE MESA,2020,124200414
VINHO DE MESA,Tinto,2020,103916391
VINHO DE MESA,Branco,2020,19568734
VINHO DE MESA,Rosado,2020,715289
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2020,32516686
VINHO FINO DE MESA,Tinto,2020,15451883
VINHO FINO DE MESA,Branco,2020,15487915
VINHO FINO DE MESA,Rosado,2020,1576888
SUCO,SUCO,2020,69261287
SUCO,Suco de uva integral,2020,40718523
SUCO,Suco de uva concentrado,2020,27963865
SUCO,Suco de uva adoçado,2020,107289
SUCO,Suco de uva orgânico,2020,471610
SUCO,Suco de uva reconstituído,2020,0
DERIVADOS,DERIVADOS,2020,92533804
DERIVADOS,Espumante,2020,32399
DERIVADOS,Espumante moscatel,2020,689139
DERIVADOS,Base espumante,2020,0
DERIVADOS,Base espumante moscatel,2020,3006705
DERIVADOS,Base Champenoise champanha,2020,200777
DERIVADOS,Base Charmat champanha,2020,2487939
DERIVADOS,Bebida de uva,2020,0
DERIVADOS,Polpa de uva,2020,1803472
DERIVADOS,Mosto simples,2020,80355474
DERIVADOS,Mosto concentrado,2020,0
DERIVADOS,Mosto de uva com bagaço,2020,3078256
DERIVADOS,Mosto dessulfitado,2020,5000
DERIVADOS,Mistelas,2020,0
DERIVADOS,Néctar de uva,2020,46000
DERIVADOS,Licorosos,2020,0
DERIVADOS,Compostos,2020,0
DERIVADOS,Jeropiga,2020,2000
DERIVADOS,Filtrado,2020,0
DERIVADOS,Frisante,2020,0
DERIVADOS,Vinho leve,2020,0
DERIVADOS,Vinho licoroso,2020,48678
DERIVADOS,Brandy,2020,0
DERIVADOS,Destilado,2020,0
DERIVADOS,Bagaceira,2020,0
DERIVADOS,Licor de bagaceira,2020,5800
DERIVADOS,Vinagre,2020,10000
DERIVADOS,Borra líquida,2020,509378
DERIVADOS,Borra seca,2020,167587
DERIVADOS,Vinho Composto,2020,0
DERIVADOS,Pisco,2020,1000
DERIVADOS,Vinho orgânico,2020,18700
DERIVADOS,Espumante orgânico,2020,0
DERIVADOS,Destilado alcoólico simples de bagaceira,2020,500
DERIVADOS,Vinho acidificado,2020,65000
DERIVADOS,Mosto parcialmente fermentado,2020,0
DERIVADOS,Outros derivados,2020,0
VINHO DE MESA,VINHO DE MESA,2021,173899995
VINHO DE MESA,Tinto,2021,146075996
VINHO DE MESA,Branco,2021,26432799
VINHO DE MESA,Rosado,2021,1391200
VINHO  FINO DE MESA,VINHO FINO DE MESA (VINIFERA),2021,43474998
VINHO FINO DE MESA,Tinto,2021,20433249
VINHO FINO DE MESA,Branco,2021,20867999
VINHO FINO DE MESA,Rosado,2021,2173750
SUCO,SUCO,2021,100932264
SUCO,Suco de uva integral,2021,68038479
SUCO,Suco de uva concentrado,2021,32131218
SUCO,Suco de uva adoçado,2021,40450
SUCO,Suco de uva orgânico,2021,722117
SUCO,Suco de uva reconstituído,2021,0
DERIVADOS,DERIVADOS,2021,169031493
